,Live Spectrum 8/25/2018 8:51:20 PM,
Wavelength [nm],Intensity,
222.167,55.557,
222.599,46.629,
223.031,42.083,
223.464,41.342,
223.896,42.522,
224.328,43.151,
224.761,56.997,
225.193,59.324,
225.625,60.053,
226.058,63.868,
226.490,70.945,
226.922,64.178,
227.355,66.853,
227.787,65.407,
228.219,59.198,
228.652,53.149,
229.084,53.069,
229.516,58.859,
229.949,69.661,
230.381,77.076,
230.813,73.024,
231.246,58.178,
231.678,59.482,
232.110,57.368,
232.543,56.995,
232.975,61.99,
233.407,63.282,
233.840,64.042,
234.272,65.338,
234.704,59.943,
235.136,55.046,
235.569,78.643,
236.001,78.617,
236.433,59.122,
236.866,46.406,
237.298,51.082,
237.730,68.695,
238.163,78.806,
238.595,72.53,
239.027,64.599,
239.460,60.348,
239.892,59.702,
240.324,56.14,
240.757,64.964,
241.189,65.441,
241.621,57.171,
242.054,45.282,
242.486,36.047,
242.918,56.575,
243.351,66.626,
243.783,68.994,
244.215,69.891,
244.648,73.62,
245.080,77.19,
245.512,75.847,
245.945,73.267,
246.377,72.721,
246.809,75.598,
247.242,66.103,
247.674,46.14,
248.106,39.957,
248.539,43.988,
248.971,47.567,
249.403,56.013,
249.836,53.055,
250.268,48.504,
250.700,41.512,
251.133,35.919,
251.565,46.811,
251.997,58.817,
252.430,66.171,
252.862,72.534,
253.294,78.042,
253.727,79.795,
254.159,77.029,
254.591,70.887,
255.024,63.122,
255.456,57.1,
255.888,57.133,
256.320,69.509,
256.753,68.842,
257.185,69.377,
257.617,68.834,
258.050,67.138,
258.482,70.106,
258.914,79.641,
259.347,73.637,
259.779,66.484,
260.211,65.948,
260.644,71.746,
261.076,60.49,
261.508,58.416,
261.941,49.341,
262.373,41.938,
262.805,44.522,
263.238,53.011,
263.670,66.101,
264.102,66.532,
264.535,65.126,
264.967,61.725,
265.399,49.265,
265.832,50.735,
266.264,53.456,
266.696,43.917,
267.129,37.146,
267.561,46.109,
267.993,57.558,
268.426,60.795,
268.858,59.756,
269.290,51.612,
269.723,44.299,
270.155,52.495,
270.587,61.99,
271.020,65.326,
271.452,63.704,
271.884,62.38,
272.317,63.697,
272.749,59.52,
273.181,58.806,
273.614,58.718,
274.046,50.782,
274.478,41.042,
274.911,44.763,
275.343,53.537,
275.775,61.112,
276.208,63.599,
276.640,62.625,
277.072,60.923,
277.504,60.267,
277.937,61.227,
278.369,68.571,
278.801,71.225,
279.234,71.15,
279.666,74.906,
280.098,65.624,
280.531,43.754,
280.963,35.755,
281.395,38.052,
281.828,46.446,
282.260,62.469,
282.692,69.869,
283.125,77.204,
283.557,81.531,
283.989,82.644,
284.422,80.297,
284.854,70.258,
285.286,57.168,
285.719,56.864,
286.151,56.558,
286.583,55.019,
287.016,60.439,
287.448,65.711,
287.880,81.104,
288.313,81.89,
288.745,74.073,
289.177,66.779,
289.610,63.171,
290.042,63.748,
290.474,62.052,
290.907,57.209,
291.339,50.101,
291.771,43.428,
292.204,42.685,
292.636,54.803,
293.068,63.097,
293.501,64.389,
293.933,66.278,
294.365,76.336,
294.798,65.021,
295.230,61.113,
295.662,61.019,
296.095,59.33,
296.527,57.541,
296.959,63.724,
297.392,70.834,
297.824,68.105,
298.256,66.717,
298.688,68.451,
299.121,70.726,
299.553,68.176,
299.985,54.521,
300.418,64.799,
300.850,70.857,
301.282,72.495,
301.715,76.194,
302.147,75.863,
302.579,76.914,
303.012,75.104,
303.444,69.301,
303.876,59.78,
304.309,50.397,
304.741,54.543,
305.173,46.578,
305.606,51.069,
306.038,56.148,
306.470,51.704,
306.903,37.245,
