,Live Spectrum 8/25/2018 9:05:25 PM,
Wavelength [nm],Intensity,
222.167,57.872,
222.599,51.839,
223.031,51.833,
223.464,50.622,
223.896,45.893,
224.328,39.799,
224.761,37.223,
225.193,35.216,
225.625,42.83,
226.058,55.06,
226.490,58.828,
226.922,49.886,
227.355,48.8,
227.787,64.455,
228.219,81.365,
228.652,79.777,
229.084,82.921,
229.516,75.152,
229.949,60.782,
230.381,50.185,
230.813,51.158,
231.246,54.708,
231.678,69.558,
232.110,71.777,
232.543,66.908,
232.975,61.861,
233.407,55.159,
233.840,55.305,
234.272,50.979,
234.704,49.154,
235.136,52.732,
235.569,56.934,
236.001,55.45,
236.433,49.528,
236.866,46.849,
237.298,50.516,
237.730,58.84,
238.163,58.112,
238.595,53.075,
239.027,49.964,
239.460,53.441,
239.892,64.469,
240.324,65.44,
240.757,75.438,
241.189,65.406,
241.621,45.796,
242.054,33.492,
242.486,34.869,
242.918,38.121,
243.351,42.309,
243.783,47.478,
244.215,52.706,
244.648,55.544,
245.080,54.528,
245.512,47.089,
245.945,40.234,
246.377,39.885,
246.809,49.177,
247.242,52.667,
247.674,52.601,
248.106,46.769,
248.539,42.994,
248.971,48.029,
249.403,47.704,
249.836,59.883,
250.268,64.209,
250.700,57.697,
251.133,45.311,
251.565,41.166,
251.997,52.832,
252.430,50.342,
252.862,46.519,
253.294,45.048,
253.727,40.381,
254.159,23.458,
254.591,19.155,
255.024,30.399,
255.456,47.474,
255.888,59.369,
256.320,68.407,
256.753,70.216,
257.185,64.021,
257.617,55.95,
258.050,51.772,
258.482,54.758,
258.914,52.069,
259.347,52.741,
259.779,52.618,
260.211,53.692,
260.644,57.962,
261.076,41.649,
261.508,42.562,
261.941,49.843,
262.373,57.301,
262.805,60.788,
263.238,58.829,
263.670,52.984,
264.102,53.3,
264.535,53.918,
264.967,48.848,
265.399,36.294,
265.832,48.877,
266.264,37.93,
266.696,34.42,
267.129,35.847,
267.561,36.888,
267.993,49.808,
268.426,57.334,
268.858,53.27,
269.290,49.523,
269.723,53.398,
270.155,63.853,
270.587,50.184,
271.020,46.065,
271.452,45.07,
271.884,44.873,
272.317,45.67,
272.749,51.158,
273.181,57.12,
273.614,59.158,
274.046,57.51,
274.478,57.654,
274.911,65.677,
275.343,59.527,
275.775,57.189,
276.208,55.519,
276.640,53.913,
277.072,52.354,
277.504,50.795,
277.937,56.918,
278.369,62.023,
278.801,57.369,
279.234,49.969,
279.666,53.358,
280.098,62.065,
280.531,69.375,
280.963,63.028,
281.395,60.309,
281.828,63.123,
