,Live Spectrum 8/25/2018 9:12:25 PM,
Wavelength [nm],Intensity,
222.167,3.7032,
222.599,4.9902,
223.031,8.7735,
223.464,8.6055,
223.896,4.9851,
224.328,4.2078,
224.761,4.3688,
225.193,0.73181,
225.625,-2.1855,
226.058,-1.4919,
226.490,3.4211,
226.922,-2.8626,
227.355,-5.3834,
227.787,-2.9736,
228.219,2.7801,
228.652,8.4782,
229.084,7.1882,
229.516,11.148,
229.949,10.517,
230.381,10.282,
230.813,16.012,
231.246,19.723,
231.678,19.669,
232.110,24.445,
232.543,29.65,
232.975,29.625,
233.407,20.339,
233.840,23.228,
234.272,24.588,
234.704,26.31,
235.136,30.354,
235.569,37.142,
236.001,31.517,
236.433,31.322,
236.866,33.941,
237.298,36.458,
237.730,36.321,
238.163,36.725,
238.595,34.518,
239.027,39.448,
239.460,44.053,
239.892,37.171,
240.324,36.847,
240.757,37.223,
241.189,37.964,
241.621,37.992,
242.054,36.269,
242.486,32.3,
242.918,29.754,
243.351,23.402,
243.783,19.559,
244.215,20.521,
244.648,20.602,
245.080,18.435,
245.512,24.043,
245.945,30.454,
246.377,32.91,
246.809,29.751,
247.242,30.563,
247.674,31.71,
248.106,30.996,
248.539,28.348,
248.971,24.922,
249.403,23.541,
249.836,20.552,
250.268,25.048,
250.700,29.81,
251.133,27.96,
251.565,18.125,
251.997,24.896,
252.430,21.416,
252.862,22.507,
253.294,27.626,
253.727,23.979,
254.159,21.864,
254.591,19.343,
255.024,22.067,
255.456,26.124,
255.888,26.146,
256.320,24.355,
256.753,35.385,
257.185,39.819,
257.617,36.333,
258.050,29.665,
258.482,29.511,
258.914,30.978,
259.347,33.079,
259.779,34.328,
260.211,35.796,
260.644,39.071,
261.076,38.745,
261.508,39.914,
261.941,41.195,
262.373,40.459,
262.805,37.815,
263.238,38.387,
263.670,37.61,
264.102,39.049,
264.535,37.845,
264.967,36.212,
265.399,40.406,
265.832,37.709,
266.264,29.528,
266.696,32.702,
267.129,37.391,
267.561,35.159,
267.993,41.046,
268.426,30.196,
268.858,32.205,
269.290,33.553,
269.723,31.176,
270.155,32.659,
270.587,32.004,
271.020,31.488,
271.452,26.858,
271.884,23.395,
272.317,25.569,
272.749,28.682,
273.181,20.377,
273.614,24.172,
274.046,23.838,
274.478,19.014,
274.911,22.318,
275.343,28.714,
275.775,23.884,
276.208,22.767,
276.640,25.151,
277.072,26.868,
277.504,23.749,
277.937,22.409,
278.369,25.314,
278.801,24.905,
279.234,22.647,
279.666,24.438,
280.098,27.395,
280.531,26.599,
280.963,26.761,
281.395,27.165,
281.828,27.063,
282.260,26.943,
282.692,28.341,
283.125,24.193,
283.557,24.457,
283.989,23.651,
284.422,15.433,
284.854,10.166,
285.286,11.233,
285.719,14.568,
286.151,19.031,
286.583,22.58,
287.016,23.352,
287.448,26.07,
287.880,30.307,
288.313,28.03,
288.745,24.05,
289.177,23.247,
289.610,25.897,
290.042,25.65,
290.474,26.874,
290.907,28.737,
291.339,30.64,
291.771,32.19,
292.204,33.262,
292.636,26.238,
293.068,29.358,
293.501,30.001,
293.933,27.084,
294.365,27.419,
294.798,28.41,
295.230,29.476,
295.662,28.711,
296.095,27.101,
296.527,27.223,
296.959,31.752,
297.392,32.496,
297.824,36.639,
298.256,40.711,
298.688,41.282,
299.121,37.826,
299.553,34.505,
299.985,34.588,
300.418,30.435,
300.850,34.256,
301.282,39.808,
301.715,37.452,
302.147,28.175,
302.579,31.906,
303.012,30.237,
303.444,29.179,
303.876,30.68,
304.309,33.728,
304.741,37.128,
305.173,34.551,
305.606,36.266,
306.038,35.221,
306.470,31.179,
306.903,29.307,
307.335,31.714,
307.767,33.356,
308.200,30.472,
308.632,31.392,
309.064,34.425,
309.497,30.643,
309.929,30.061,
310.361,35.762,
310.794,32.551,
311.226,31.14,
311.658,34.962,
312.091,36.89,
312.523,42.462,
312.955,43.25,
313.388,41.657,
313.820,41.762,
314.252,44.035,
314.685,44.778,
315.117,44.445,
315.549,50.381,
315.982,43.167,
316.414,33.91,
316.846,31.572,
317.279,34.417,
317.711,46.998,
318.143,38.279,
318.576,39.617,
319.008,42.205,
319.440,41.659,
319.872,47.857,
320.305,51.277,
320.737,45.278,
321.169,46.911,
321.602,48.527,
322.034,45.813,
322.466,44.087,
322.899,42.668,
323.331,45.234,
323.763,47.35,
324.196,47.304,
324.628,44.734,
325.060,41.002,
325.493,43.092,
325.925,41.575,
326.357,43.293,
326.790,40.67,
327.222,37.915,
327.654,47.022,
328.087,51.539,
328.519,46.287,
328.951,40.481,
329.384,40.551,
329.816,39.575,
330.248,28.967,
330.681,34.41,
331.113,33.277,
331.545,34.416,
331.978,44.896,
332.410,52.928,
332.842,45.352,
333.275,39.233,
333.707,40.827,
334.139,36.523,
334.572,35.995,
335.004,39.822,
335.436,42.181,
335.869,35.434,
336.301,31.49,
336.733,36.974,
337.166,45.831,
337.598,50.198,
338.030,48.843,
338.463,49.847,
338.895,45.731,
339.327,47.328,
339.760,46.671,
340.192,47.918,
340.624,50.441,
341.056,48.573,
341.489,51.853,
341.921,47.364,
342.353,42.542,
342.786,44.171,
343.218,50.258,
343.650,53.105,
344.083,47.213,
344.515,39.832,
344.947,42.715,
345.380,39.746,
345.812,39.039,
346.244,46.275,
346.677,44.145,
347.109,45.072,
347.541,50.849,
347.974,56.688,
348.406,53.556,
348.838,45.181,
349.271,45.238,
349.703,41.188,
350.135,37.138,
350.568,33.904,
351.000,33.454,
351.432,34.657,
351.865,35.719,
352.297,38.448,
352.729,45.29,
353.162,46.225,
353.594,44.105,
354.026,40.285,
354.459,38.308,
354.891,42.261,
355.323,33.975,
355.756,41.333,
356.188,47.235,
356.620,49.357,
357.053,49.821,
357.485,50.218,
357.917,45.817,
358.350,49.01,
358.782,51.123,
359.214,49.116,
359.647,46.842,
360.079,46.51,
360.511,45.132,
360.944,44.37,
361.376,53.434,
361.808,56.103,
362.240,57.183,
362.673,57.356,
363.105,54.954,
363.537,54.22,
363.970,55.238,
364.402,58.886,
364.834,58.401,
365.267,58.823,
365.699,63.817,
366.131,70.033,
366.564,68.674,
366.996,61.677,
367.428,58.497,
367.861,61.489,
368.293,65.877,
368.725,64.668,
369.158,55.17,
369.590,54.66,
370.022,60.271,
370.455,63.498,
370.887,60.838,
371.319,55.125,
371.752,51.437,
372.184,49.576,
372.616,55.535,
373.049,56.789,
373.481,58.824,
373.913,60.012,
374.346,61.269,
374.778,64.777,
375.210,57.532,
375.643,58.789,
376.075,53.272,
376.507,51.14,
376.940,48.903,
377.372,42.842,
377.804,38.79,
378.237,48.176,
378.669,48.803,
379.101,51.664,
379.534,53.707,
379.966,54.811,
380.398,56.983,
380.831,60.911,
381.263,59.715,
381.695,60.146,
382.128,58.415,
382.560,54.834,
382.992,54.645,
383.424,59.753,
383.857,60.991,
384.289,57.312,
384.721,63.671,
385.154,61.922,
385.586,64.6,
386.018,67.188,
386.451,63.582,
386.883,75.283,
387.315,62.093,
387.748,69.468,
388.180,71.854,
388.612,69.449,
389.045,69.209,
389.477,73.06,
389.909,71.027,
390.342,80.459,
390.774,76.78,
391.206,79.789,
391.639,82.891,
392.071,85.036,
392.503,88.836,
392.936,87.768,
393.368,81.243,
393.800,89.031,
394.233,93.812,
394.665,97.068,
395.097,100.18,
395.530,103.03,
395.962,107.42,
396.394,116.7,
396.827,113.88,
397.259,113.76,
397.691,112.52,
398.124,112.59,
398.556,116.09,
398.988,115.49,
399.421,105.33,
399.853,108.04,
400.285,102.57,
400.718,105.87,
401.150,111.6,
401.582,114.84,
402.015,127.73,
402.447,138.59,
402.879,137.01,
403.312,141.51,
403.744,148.74,
404.176,159.67,
404.608,170.89,
405.041,173.99,
405.473,167.87,
405.905,182.19,
406.338,186.3,
406.770,190.03,
407.202,192.51,
407.635,198.38,
408.067,212.31,
408.499,224.34,
408.932,241.28,
409.364,248.05,
409.796,258.41,
410.229,267.04,
410.661,277.04,
411.093,293.54,
411.526,313.75,
411.958,332.44,
412.390,347.64,
412.823,368.27,
413.255,395.81,
413.687,428.29,
414.120,461.35,
414.552,493.18,
414.984,531.82,
415.417,570.46,
415.849,604.94,
416.281,647.63,
416.714,695.17,
417.146,749.73,
417.578,806.91,
418.011,849.54,
418.443,907.74,
418.875,966.62,
419.308,1027.4,
419.740,1084.4,
420.172,1152.4,
420.605,1231.7,
421.037,1307,
421.469,1384.4,
421.902,1480.7,
422.334,1572.7,
422.766,1684.6,
423.199,1798.9,
423.631,1913.3,
424.063,2029.8,
424.496,2144.9,
424.928,2286.6,
425.360,2424.5,
425.792,2572.8,
426.225,2722.7,
426.657,2861.5,
427.089,2994.5,
427.522,3136.3,
427.954,3293.6,
428.386,3481.7,
428.819,3666.2,
429.251,3865.6,
429.683,4064.2,
430.116,4275.6,
430.548,4500.8,
430.980,4720,
431.413,4927,
431.845,5175.8,
432.277,5375.9,
432.710,5651.9,
433.142,5920.6,
433.574,6172.3,
434.007,6425.9,
434.439,6681.4,
434.871,6941.9,
435.304,7228.9,
435.736,7499.4,
436.168,7836.2,
436.601,8159.9,
437.033,8465.8,
437.465,8765.3,
437.898,9049,
438.330,9363.9,
438.762,9665.3,
439.195,10012,
439.627,10317,
440.059,10633,
440.492,10962,
440.924,11252,
441.356,11469,
441.789,11686,
442.221,11927,
442.653,12227,
443.086,12524,
443.518,12819,
443.950,13075,
444.383,13301,
444.815,13559,
445.247,13829,
445.679,14055,
446.112,14236,
446.544,14419,
446.976,14639,
447.409,14822,
447.841,14962,
448.273,15136,
448.706,15357,
449.138,15544,
449.570,15656,
450.003,15721,
450.435,15744,
450.867,15793,
451.300,15863,
451.732,15905,
452.164,15915,
452.597,15845,
453.029,15687,
453.461,15461,
453.894,15226,
454.326,14987,
454.758,14780,
455.191,14601,
455.623,14382,
456.055,14159,
456.488,13918,
456.920,13670,
457.352,13355,
457.785,13022,
458.217,12676,
458.649,12342,
459.082,12038,
459.514,11707,
459.946,11405,
460.379,11089,
460.811,10800,
461.243,10483,
461.676,10145,
462.108,9811,
462.540,9490.4,
462.973,9167.8,
463.405,8822.7,
463.837,8514,
464.270,8222.4,
464.702,7940.4,
465.134,7686.2,
465.567,7431.3,
465.999,7173.1,
466.431,6931.8,
466.863,6701.7,
467.296,6484,
467.728,6259.9,
468.160,6065.6,
468.593,5874.7,
469.025,5679.3,
469.457,5496.6,
469.890,5337.9,
470.322,5192,
470.754,5042.4,
471.187,4910.1,
471.619,4796.6,
472.051,4667.5,
472.484,4533.8,
472.916,4402.2,
473.348,4279,
473.781,4164.5,
474.213,4052.1,
474.645,3936,
475.078,3813,
475.510,3696.7,
475.942,3598.3,
476.375,3499.2,
476.807,3398.4,
477.239,3308.9,
477.672,3235.6,
478.104,3165.6,
478.536,3083.1,
478.969,3000.7,
479.401,2938,
479.833,2866.7,
