,Live Spectrum 8/25/2018 8:46:44 PM,
Wavelength [nm],Intensity,
222.167,107.54,
222.599,121.13,
223.031,113.48,
223.464,106.73,
223.896,108.97,
224.328,115.56,
224.761,116.45,
225.193,121.19,
225.625,121.6,
226.058,119.32,
226.490,120.94,
226.922,117.63,
227.355,106.87,
227.787,103.69,
228.219,107.89,
228.652,114.59,
229.084,132.65,
229.516,142.9,
229.949,141.36,
230.381,136.22,
230.813,136.61,
231.246,141.53,
231.678,131.97,
232.110,131.91,
232.543,137.47,
232.975,137.25,
233.407,111.9,
233.840,117.51,
234.272,116.67,
234.704,116.82,
235.136,119,
235.569,110.51,
236.001,111.48,
236.433,117.83,
236.866,122.36,
237.298,125.77,
237.730,134.52,
238.163,136.55,
238.595,139.42,
239.027,133.16,
239.460,124.04,
239.892,122.83,
240.324,118.7,
240.757,125.55,
241.189,133.83,
241.621,139.09,
242.054,136.91,
242.486,118.6,
242.918,119.71,
243.351,127.03,
243.783,131.95,
244.215,131.47,
244.648,130.74,
245.080,139.01,
245.512,136.55,
245.945,127.57,
246.377,121.27,
246.809,128.01,
247.242,131.02,
247.674,141.33,
248.106,142.27,
248.539,134.16,
248.971,123.06,
249.403,111.04,
249.836,113.49,
250.268,121.9,
250.700,131.54,
251.133,136.65,
251.565,129.01,
251.997,131.38,
252.430,131.13,
252.862,132.09,
253.294,135.27,
253.727,137.34,
254.159,115.21,
254.591,118.46,
255.024,128.92,
255.456,136.76,
255.888,136.36,
256.320,126.75,
256.753,130.86,
257.185,140.77,
257.617,144.2,
258.050,136.39,
258.482,124.65,
258.914,127.01,
259.347,127.92,
259.779,127.28,
260.211,126.34,
260.644,128.04,
261.076,142.23,
261.508,128.94,
261.941,117.29,
262.373,119.49,
262.805,133.1,
263.238,132.94,
263.670,125.96,
264.102,133.95,
264.535,142.2,
264.967,143.77,
265.399,140.04,
265.832,134.56,
266.264,116.73,
266.696,114.61,
267.129,120.66,
267.561,124.5,
267.993,135.46,
268.426,139.14,
268.858,137.94,
269.290,134.61,
269.723,129,
270.155,119.5,
270.587,118.93,
271.020,127.07,
271.452,123.74,
271.884,118.59,
272.317,121.84,
272.749,122.41,
273.181,127.08,
273.614,131.19,
274.046,132.35,
274.478,133.16,
274.911,138.36,
275.343,137.46,
275.775,135.01,
276.208,134.19,
276.640,136.07,
277.072,139.72,
277.504,141.61,
277.937,142.85,
278.369,143.51,
278.801,131.75,
279.234,118.36,
279.666,121.52,
280.098,120.45,
280.531,133,
280.963,142.78,
281.395,143.9,
281.828,137.06,
282.260,129.67,
282.692,130.99,
283.125,125.69,
283.557,127.65,
283.989,136.99,
284.422,147.08,
284.854,149.13,
285.286,149.94,
285.719,147.78,
286.151,140.28,
286.583,133.85,
287.016,138.81,
287.448,144,
287.880,130.97,
288.313,130.93,
288.745,136.31,
289.177,139.74,
289.610,146.06,
290.042,134.35,
290.474,122.51,
290.907,119.36,
291.339,122.72,
291.771,127.47,
292.204,133.99,
292.636,134.87,
293.068,136.65,
293.501,136.04,
293.933,136.8,
294.365,142.95,
294.798,131.97,
295.230,136.77,
295.662,141.44,
296.095,147.89,
296.527,153.51,
296.959,149.38,
297.392,139.38,
297.824,146.64,
298.256,145.15,
298.688,132.91,
299.121,119.5,
299.553,121.11,
299.985,124.5,
300.418,138.18,
300.850,143.99,
301.282,142.68,
301.715,141.15,
302.147,141.23,
302.579,140.83,
303.012,138.81,
303.444,132.56,
303.876,125.6,
304.309,124.99,
304.741,138.25,
305.173,140.98,
305.606,141.29,
306.038,140.11,
306.470,137.05,
306.903,132.52,
307.335,134.02,
307.767,125.5,
308.200,123.61,
308.632,128.22,
309.064,132.94,
309.497,132.68,
309.929,152.37,
310.361,162.19,
310.794,155.81,
311.226,143.21,
311.658,130.68,
312.091,117.97,
312.523,111.48,
312.955,117.65,
313.388,126.27,
313.820,136.77,
314.252,141.92,
314.685,129.94,
315.117,129.94,
315.549,138.03,
315.982,145.31,
316.414,143.15,
316.846,135.58,
317.279,138.5,
317.711,139.33,
318.143,144.53,
318.576,148.45,
319.008,146.61,
