,Live Spectrum 8/25/2018 10:32:28 PM,
Wavelength [nm],Intensity,
222.167,138.2,
222.599,127.42,
223.031,122.97,
223.464,123.04,
223.896,123.43,
224.328,118.51,
224.761,119,
225.193,127.08,
225.625,130.21,
226.058,126.69,
226.490,121.58,
226.922,119.65,
227.355,113.75,
227.787,115.19,
228.219,120.7,
228.652,123.04,
229.084,130.7,
229.516,128.07,
229.949,117.5,
230.381,111.63,
230.813,120.06,
231.246,129.26,
231.678,142.3,
232.110,142.17,
232.543,132.31,
232.975,119.7,
233.407,111.38,
233.840,111.66,
234.272,120.77,
234.704,125.43,
235.136,122.55,
235.569,124.98,
236.001,136.53,
236.433,143.91,
236.866,142.96,
237.298,132.64,
237.730,115.66,
238.163,114.77,
238.595,112.71,
239.027,112.72,
239.460,116.97,
239.892,124.88,
240.324,121.64,
240.757,115.32,
241.189,109.85,
241.621,113.42,
242.054,126.92,
242.486,125.79,
242.918,131.47,
243.351,125.56,
243.783,125.44,
244.215,136.3,
244.648,138.97,
245.080,122.7,
245.512,119.81,
245.945,117.18,
246.377,112.09,
246.809,110.28,
247.242,113.37,
247.674,112.02,
248.106,117.57,
248.539,126,
248.971,130.24,
249.403,135.11,
249.836,132.75,
250.268,128.98,
250.700,125.77,
251.133,123.07,
251.565,118.11,
251.997,112.84,
252.430,124.32,
252.862,130.41,
253.294,127.85,
253.727,129.18,
254.159,127.06,
254.591,128.12,
255.024,125.82,
255.456,118.89,
255.888,110.94,
256.320,116.8,
256.753,104.18,
257.185,106.53,
257.617,116.36,
258.050,120.66,
258.482,107.27,
258.914,119.98,
259.347,108.15,
259.779,93.361,
260.211,86.608,
260.644,90.681,
261.076,103.65,
261.508,114.27,
261.941,121.02,
262.373,125.55,
262.805,128.37,
263.238,125.68,
263.670,143.28,
264.102,149.49,
264.535,152.72,
264.967,146.74,
265.399,119.04,
265.832,122.31,
266.264,119.4,
266.696,115.7,
267.129,119.92,
267.561,131.26,
267.993,122.68,
268.426,123.87,
268.858,131.44,
269.290,129.47,
269.723,119.11,
270.155,116.21,
270.587,120.88,
271.020,108.24,
271.452,107.46,
271.884,118.24,
272.317,130.18,
272.749,130.58,
273.181,124.22,
273.614,133.79,
274.046,143.57,
274.478,145.33,
274.911,139.7,
275.343,129.69,
275.775,131.27,
276.208,130.82,
276.640,124.83,
277.072,114.83,
277.504,107.11,
277.937,108.38,
278.369,111.47,
278.801,111.12,
279.234,111.06,
279.666,118.36,
280.098,126.82,
280.531,126.82,
280.963,120.42,
281.395,112.3,
281.828,109.7,
282.260,120.72,
282.692,117.92,
283.125,119.07,
283.557,109.01,
283.989,98.735,
284.422,101.97,
284.854,107.81,
285.286,118.89,
285.719,125.77,
286.151,119.39,
286.583,108.86,
287.016,113.68,
287.448,122.25,
287.880,121.2,
288.313,120.84,
288.745,123.02,
289.177,122.84,
289.610,109.45,
290.042,111.6,
290.474,113.94,
290.907,109.92,
291.339,106.84,
291.771,113.84,
292.204,129.02,
292.636,128.89,
293.068,132.42,
293.501,134.34,
293.933,130.3,
294.365,118.75,
294.798,102.89,
295.230,105.74,
295.662,115.76,
296.095,119.09,
296.527,116.24,
296.959,121.98,
297.392,124.71,
297.824,124.68,
298.256,123.75,
298.688,122.52,
299.121,124.4,
299.553,136.69,
299.985,131.23,
300.418,120.65,
300.850,126.96,
301.282,135.31,
301.715,131.02,
302.147,136.4,
302.579,132.35,
303.012,123.57,
303.444,120.52,
303.876,126.46,
304.309,135.68,
304.741,127.81,
305.173,112.14,
305.606,111.26,
306.038,119,
306.470,129.29,
306.903,137.04,
307.335,131.81,
307.767,135.07,
308.200,131.14,
308.632,126.47,
309.064,125.54,
309.497,127.67,
309.929,127.33,
310.361,118.85,
310.794,108.36,
311.226,109.48,
311.658,116.62,
312.091,109.1,
312.523,112.51,
312.955,116.21,
313.388,118.2,
313.820,114.32,
314.252,106.79,
314.685,104.97,
315.117,116.2,
315.549,133.71,
315.982,133.75,
316.414,130.48,
316.846,135.1,
317.279,142.74,
317.711,130.82,
318.143,120.87,
318.576,111.81,
319.008,109.05,
319.440,116.05,
319.872,130.04,
320.305,129.2,
320.737,135.67,
321.169,137.59,
321.602,126.23,
322.034,109.26,
322.466,107.64,
322.899,105.63,
323.331,111.45,
323.763,122.14,
324.196,127.77,
324.628,126.92,
325.060,128.41,
325.493,136.94,
325.925,134.65,
326.357,130.31,
326.790,127.03,
327.222,125.73,
327.654,126.65,
328.087,134.01,
328.519,134.75,
328.951,133.1,
329.384,131.87,
329.816,124.58,
330.248,105.78,
330.681,102.1,
331.113,110.22,
331.545,121.35,
331.978,126.23,
332.410,124.42,
332.842,121.68,
333.275,123.85,
333.707,139.16,
334.139,133.34,
334.572,131.69,
335.004,130.53,
335.436,120.41,
335.869,112.34,
336.301,102.94,
336.733,104.21,
337.166,112.69,
337.598,120.49,
338.030,121.03,
338.463,113.14,
338.895,104.06,
339.327,109.79,
339.760,117.46,
340.192,124.32,
340.624,129.74,
341.056,132.87,
341.489,130.85,
341.921,126.97,
342.353,131.03,
342.786,127.72,
343.218,123.53,
343.650,132.1,
344.083,135.63,
344.515,125.87,
344.947,123.2,
345.380,118.46,
345.812,114.87,
346.244,117.14,
346.677,121.45,
347.109,122.63,
347.541,131.05,
347.974,140.78,
348.406,145.84,
348.838,145.9,
349.271,145.53,
349.703,142.33,
350.135,139.59,
350.568,126.71,
351.000,116.9,
351.432,116.72,
351.865,122.68,
352.297,123.1,
352.729,123.53,
353.162,117.07,
353.594,113.66,
354.026,115.05,
354.459,115.67,
354.891,107.66,
355.323,104.95,
355.756,119.5,
356.188,131.29,
356.620,129.98,
357.053,126.99,
357.485,135.89,
357.917,134.7,
358.350,127.86,
358.782,124.05,
359.214,130.69,
359.647,142.74,
360.079,153.13,
360.511,158.24,
360.944,147.9,
361.376,140.81,
361.808,129.62,
362.240,124.89,
362.673,129.78,
363.105,137.35,
363.537,134.59,
363.970,133.82,
364.402,133.42,
364.834,133.64,
365.267,140.03,
365.699,150.47,
366.131,153.8,
366.564,144.2,
366.996,139.92,
367.428,143.26,
367.861,146.56,
368.293,138.42,
368.725,123.42,
369.158,131.16,
369.590,147.57,
370.022,145.4,
