,Live Spectrum 8/25/2018 10:38:19 PM,
Wavelength [nm],Intensity,
222.167,38.3,
222.599,48.033,
223.031,46.321,
223.464,45.147,
223.896,45.564,
224.328,39.693,
224.761,39.452,
225.193,34.083,
225.625,31.131,
226.058,34.271,
226.490,43.755,
226.922,47.944,
227.355,43.021,
227.787,41.405,
228.219,42.982,
228.652,43.153,
229.084,42.669,
229.516,44.189,
229.949,44.801,
230.381,44.275,
230.813,43.156,
231.246,42.107,
231.678,41.421,
232.110,42.05,
232.543,43.985,
232.975,45.921,
233.407,43.821,
233.840,43.319,
234.272,41.778,
234.704,39.796,
235.136,39.574,
235.569,45.149,
236.001,47.763,
236.433,46.816,
236.866,49.476,
237.298,52.405,
237.730,44.735,
238.163,40.934,
238.595,43.334,
239.027,45.046,
239.460,44.286,
239.892,42.229,
240.324,43.524,
240.757,49.298,
241.189,48.949,
241.621,44.224,
242.054,39.697,
242.486,39.048,
242.918,38.85,
243.351,39.696,
243.783,44.143,
244.215,49.412,
244.648,44.548,
245.080,41.85,
245.512,39.235,
245.945,36.682,
246.377,36.295,
246.809,41.087,
247.242,45.956,
247.674,42.439,
248.106,42.666,
248.539,43.697,
248.971,40.644,
249.403,44.786,
249.836,40.667,
250.268,40.468,
250.700,41.166,
251.133,40.352,
251.565,41.083,
251.997,41.815,
252.430,41.939,
252.862,41.9,
253.294,41.877,
253.727,41.962,
254.159,44.728,
254.591,47.36,
255.024,55.341,
255.456,58.906,
255.888,51.23,
256.320,57.011,
256.753,48.405,
257.185,48.996,
257.617,48.679,
258.050,42.732,
258.482,40.304,
258.914,41.037,
259.347,39.551,
259.779,36.712,
260.211,37.023,
260.644,43.801,
261.076,38.744,
261.508,47.925,
261.941,52.164,
262.373,49.545,
262.805,44.676,
263.238,47.615,
263.670,47.859,
264.102,47.169,
264.535,44.058,
264.967,41.18,
265.399,43.21,
265.832,41.985,
266.264,42.355,
266.696,44.748,
267.129,45.385,
267.561,43.101,
267.993,46.454,
268.426,43.94,
268.858,45.001,
269.290,45.447,
269.723,44.684,
270.155,45.699,
270.587,47.172,
271.020,44.354,
271.452,42.131,
271.884,40.541,
272.317,39.343,
272.749,41.227,
273.181,43.82,
273.614,48.566,
274.046,47.959,
274.478,44.289,
274.911,45.872,
275.343,39.312,
275.775,38.188,
276.208,39.89,
276.640,45.141,
277.072,51.582,
277.504,49.53,
277.937,54.433,
278.369,54.719,
278.801,53.704,
279.234,53.29,
279.666,54.079,
280.098,56.543,
280.531,49.661,
280.963,50.167,
281.395,49.26,
281.828,43.941,
282.260,44.606,
282.692,48.306,
283.125,41.116,
283.557,37.74,
283.989,37.172,
284.422,34.877,
284.854,35.947,
285.286,38.346,
285.719,39.545,
286.151,39.043,
286.583,39.361,
287.016,43.866,
287.448,45.678,
287.880,45.105,
288.313,49.941,
288.745,53.495,
289.177,54.857,
289.610,65.291,
290.042,60.673,
290.474,58.596,
290.907,55.681,
291.339,50.276,
291.771,44.015,
292.204,45.253,
292.636,46.491,
293.068,47.11,
293.501,44.453,
293.933,41.955,
294.365,45.272,
294.798,49.32,
295.230,47.08,
295.662,48.671,
296.095,51.743,
296.527,51.711,
296.959,45.343,
297.392,46.005,
297.824,41.569,
298.256,45.692,
298.688,51.769,
299.121,53.281,
299.553,53.217,
299.985,54.045,
300.418,54.469,
300.850,52.299,
301.282,51.641,
301.715,55.594,
302.147,58.742,
302.579,48.393,
303.012,49.721,
303.444,51.424,
303.876,49.474,
304.309,46.092,
304.741,47.336,
305.173,47.479,
305.606,48.362,
306.038,45.204,
306.470,41.452,
306.903,43.114,
307.335,38.466,
307.767,35.959,
308.200,36.252,
308.632,35.497,
309.064,35.798,
309.497,41.898,
309.929,38.991,
310.361,41.243,
310.794,44.126,
311.226,43.591,
311.658,40.845,
312.091,41.191,
312.523,39.944,
312.955,41.493,
313.388,43.406,
313.820,46.359,
314.252,46.912,
314.685,38.641,
315.117,33.98,
315.549,30.775,
315.982,34.912,
316.414,40.912,
316.846,45.183,
317.279,49.4,
317.711,52.149,
318.143,58.898,
318.576,53.844,
319.008,47.448,
319.440,47.649,
319.872,51.466,
320.305,55.052,
320.737,50.9,
321.169,49.482,
321.602,49.939,
322.034,49.88,
322.466,48.63,
322.899,50.216,
323.331,58.889,
323.763,62.359,
324.196,61.597,
324.628,58.511,
325.060,54.211,
325.493,57.47,
325.925,56.147,
326.357,58.301,
326.790,59.142,
327.222,56.272,
327.654,52.066,
328.087,50.894,
328.519,45.723,
328.951,50.08,
329.384,51.153,
329.816,48.877,
330.248,51.559,
330.681,49.131,
331.113,46.86,
331.545,45.481,
331.978,47.667,
332.410,51.74,
332.842,54.964,
333.275,59.993,
333.707,67.404,
334.139,65.902,
334.572,65.345,
335.004,64.38,
335.436,60.031,
335.869,58.367,
336.301,62.228,
336.733,60.543,
337.166,58.967,
337.598,58.574,
338.030,57.893,
338.463,54.837,
338.895,53.829,
339.327,55.092,
339.760,57.147,
340.192,55.282,
340.624,51.025,
341.056,50.882,
341.489,48.948,
341.921,48.101,
342.353,47.653,
342.786,48.603,
343.218,47.884,
343.650,44.284,
344.083,50.681,
344.515,47.66,
344.947,46.198,
345.380,45.085,
345.812,44.224,
346.244,43.685,
346.677,42.808,
347.109,42.976,
347.541,45.533,
347.974,47.407,
348.406,47.854,
348.838,47.5,
349.271,47.743,
349.703,49.852,
350.135,52.432,
350.568,51.278,
351.000,52.279,
351.432,56.184,
351.865,59.165,
352.297,56.894,
352.729,56.05,
353.162,60.557,
353.594,63.356,
354.026,63.653,
354.459,63.261,
354.891,63.8,
355.323,63.8,
355.756,62.343,
356.188,60.981,
356.620,59.85,
357.053,58.347,
357.485,57.246,
357.917,61.986,
358.350,57.949,
358.782,61.344,
359.214,63.576,
359.647,70.09,
360.079,76.364,
360.511,65.262,
360.944,75.6,
361.376,71.315,
361.808,64.393,
362.240,60.208,
362.673,62.945,
363.105,69.461,
363.537,61.694,
363.970,61.355,
364.402,56.964,
364.834,52.57,
365.267,50.949,
365.699,54.406,
366.131,61.733,
366.564,55.617,
366.996,57.313,
367.428,54.46,
367.861,50.53,
368.293,52.301,
368.725,56.432,
369.158,45.114,
369.590,48.43,
370.022,53.636,
370.455,56.049,
370.887,56.371,
371.319,58.965,
371.752,65.368,
372.184,65.224,
372.616,67.182,
373.049,59.44,
373.481,54.505,
373.913,56.2,
374.346,58.304,
374.778,51.018,
375.210,39.853,
375.643,49.158,
376.075,49.98,
376.507,55.503,
376.940,60.593,
377.372,59.485,
377.804,58.065,
378.237,63.441,
378.669,64.039,
379.101,60.785,
379.534,60.008,
379.966,60.785,
380.398,61.565,
380.831,65.175,
381.263,55.777,
381.695,63.5,
382.128,64.993,
382.560,62.318,
382.992,61.66,
383.424,65.593,
383.857,69.221,
384.289,67.852,
384.721,70.589,
385.154,70.268,
385.586,70.68,
386.018,71.377,
386.451,68.738,
386.883,63.184,
387.315,73.461,
387.748,69.502,
388.180,67.373,
388.612,66.586,
389.045,68.009,
389.477,71.62,
389.909,69.169,
390.342,72.942,
390.774,73.701,
391.206,74.962,
391.639,80.347,
392.071,81.834,
392.503,74.657,
392.936,76.875,
393.368,72.496,
393.800,76.34,
394.233,77.08,
394.665,77.994,
395.097,79.332,
395.530,81.058,
395.962,88.514,
396.394,87.225,
396.827,90.594,
397.259,88.8,
397.691,90.725,
398.124,92.623,
398.556,89.861,
398.988,90.955,
399.421,92.677,
399.853,86.007,
400.285,93.74,
400.718,96.932,
401.150,93.602,
401.582,90.871,
402.015,91.411,
402.447,91.497,
402.879,92.661,
403.312,97.463,
403.744,99.832,
404.176,102.47,
404.608,105.83,
405.041,107.1,
405.473,114.43,
405.905,121.59,
406.338,124.82,
406.770,130.46,
407.202,142.2,
407.635,155.56,
408.067,163.95,
408.499,170.05,
408.932,179.9,
409.364,192.7,
