,Live Spectrum 8/25/2018 10:41:57 PM,
Wavelength [nm],Intensity,
222.167,33.3,
222.599,29.761,
223.031,24.882,
223.464,24.698,
223.896,26.944,
224.328,22.841,
224.761,24.29,
225.193,24.283,
225.625,28.833,
226.058,35.899,
226.490,39.103,
226.922,40.795,
227.355,37.798,
227.787,35.168,
228.219,35.787,
228.652,40.722,
229.084,45.076,
229.516,41.694,
229.949,41.74,
230.381,40.41,
230.813,34.095,
231.246,41.356,
231.678,41.014,
232.110,44.426,
232.543,46.716,
232.975,44.002,
233.407,40.691,
233.840,42.631,
234.272,41.309,
234.704,39.612,
235.136,40.204,
235.569,44.164,
236.001,39.315,
236.433,44.375,
236.866,51.157,
237.298,56.154,
237.730,59.949,
238.163,56.471,
238.595,53.188,
239.027,52.077,
239.460,50.257,
239.892,44.895,
240.324,48.862,
240.757,48.84,
241.189,52.319,
241.621,58.199,
242.054,63.643,
242.486,67.046,
242.918,63.851,
243.351,65.277,
243.783,62.852,
244.215,56.079,
244.648,59.566,
245.080,64.257,
245.512,65.584,
245.945,60.514,
246.377,54.327,
246.809,56.938,
247.242,55.883,
247.674,58.384,
248.106,53.328,
248.539,46.795,
248.971,47.799,
249.403,50.073,
249.836,57.1,
250.268,56.991,
250.700,54.871,
251.133,55.017,
251.565,55.098,
251.997,49.856,
252.430,52.693,
252.862,52.496,
253.294,48.594,
253.727,48.933,
254.159,49.503,
254.591,42.243,
255.024,41.095,
255.456,46.355,
255.888,52.349,
256.320,49.907,
256.753,52.16,
257.185,54.96,
257.617,58.485,
258.050,61.081,
258.482,58.035,
258.914,64.963,
259.347,63.645,
259.779,58.268,
260.211,54.389,
260.644,57.049,
261.076,64.634,
261.508,61.827,
261.941,57.344,
262.373,54.184,
262.805,52.207,
263.238,47.146,
263.670,44.542,
264.102,49.811,
264.535,53.259,
264.967,51.998,
265.399,49.524,
265.832,49.851,
266.264,50.247,
266.696,51.423,
267.129,53.058,
267.561,55.851,
267.993,63.947,
268.426,61.953,
268.858,62.26,
269.290,62.774,
269.723,60.115,
270.155,51.918,
270.587,49.217,
271.020,46.793,
271.452,51.061,
271.884,57.056,
272.317,58.038,
272.749,51.649,
273.181,53.132,
273.614,50.687,
274.046,52.638,
274.478,55.535,
274.911,48.864,
275.343,52.144,
275.775,41.796,
276.208,41.353,
276.640,42.296,
277.072,38.571,
277.504,45.3,
277.937,48.392,
278.369,50.17,
278.801,52.017,
279.234,51.924,
279.666,48.184,
