,Live Spectrum 8/25/2018 9:11:41 PM
Wavelength [nm],Intensity
215.709,1615.000
216.248,1605.000
216.786,1596.000
217.325,1610.667
217.863,1599.000
218.401,1590.333
218.94,1600.000
219.478,1589.333
220.016,1580.667
220.554,1575.333
221.091,1578.000
221.629,1566.000
222.167,1555.667
222.704,1558.000
223.242,1575.333
223.779,1574.333
224.316,1568.000
224.853,1575.667
225.39,1563.000
225.927,1565.667
226.464,1570.000
227,1579.667
227.537,1576.333
228.073,1577.333
228.61,1573.000
229.146,1569.333
229.682,1559.333
230.218,1566.667
230.754,1575.333
231.29,1561.333
231.826,1572.000
232.361,1575.000
232.897,1575.667
233.432,1584.667
233.967,1570.667
234.503,1579.667
235.038,1586.000
235.573,1584.686
236.108,1585.353
236.642,1585.804
237.177,1585.216
237.712,1584.667
238.246,1583.353
238.781,1583.549
239.315,1583.922
239.849,1584.961
240.383,1585.765
240.917,1585.706
241.451,1585.843
241.985,1584.941
242.518,1584.294
243.052,1584.961
243.585,1585.039
244.119,1585.177
244.652,1584.275
245.185,1585.490
245.718,1585.275
246.251,1585.941
246.784,1586.765
247.317,1588.392
247.849,1589.529
248.382,1589.863
248.914,1589.608
249.447,1590.196
249.979,1590.510
250.511,1588.627
251.043,1587.235
251.575,1584.961
252.107,1581.745
252.638,1581.235
253.17,1579.686
253.701,1579.490
254.233,1579.137
254.764,1580.333
255.295,1581.412
255.826,1582.765
256.357,1583.137
256.888,1583.471
257.419,1583.804
257.949,1585.020
258.48,1585.098
259.01,1586.569
259.541,1588.745
260.071,1590.725
260.601,1592.137
261.131,1594.588
261.661,1595.490
262.191,1596.784
262.721,1598.412
263.25,1598.608
263.78,1597.333
264.309,1596.118
264.839,1593.510
265.368,1592.137
265.897,1590.471
266.426,1588.745
266.955,1585.725
267.484,1583.216
268.012,1580.608
268.541,1578.823
269.069,1577.961
269.598,1576.863
270.126,1575.961
270.654,1574.863
271.182,1573.157
271.71,1570.980
272.238,1569.941
272.766,1569.078
273.293,1569.118
273.821,1569.667
274.348,1568.569
274.876,1567.392
275.403,1566.627
275.93,1566.686
276.457,1567.627
276.984,1567.961
277.511,1568.627
278.038,1569.529
278.564,1571.078
279.091,1572.020
279.617,1572.333
280.144,1574.196
280.67,1575.314
281.196,1576.118
281.722,1578.118
282.248,1578.667
282.774,1580.314
283.299,1583.137
283.825,1585.549
284.35,1587.784
284.876,1588.627
285.401,1589.353
285.926,1590.373
286.451,1590.275
286.976,1589.765
287.501,1588.843
288.026,1588.098
288.55,1587.431
289.075,1585.137
289.599,1583.373
290.124,1583.529
290.648,1583.608
291.172,1584.216
291.696,1583.627
292.22,1582.882
292.744,1582.843
293.268,1583.098
293.791,1583.373
294.315,1584.235
294.838,1584.314
295.362,1585.431
295.885,1586.765
296.408,1588.235
296.931,1588.882
297.454,1589.549
297.977,1590.745
298.499,1592.000
299.022,1591.588
299.544,1590.392
300.067,1589.196
300.589,1588.843
301.111,1590.137
301.633,1591.196
302.155,1592.020
302.677,1593.000
303.199,1592.980
303.72,1592.765
