,Relative Quantum Efficiency
Wavelength [nm],RQE
215.709,0
216.248,0
216.786,0
217.325,0
217.863,0
218.401,0
218.94,0
219.478,0
220.016,0
220.554,0
221.091,0
221.629,0
222.167,0
222.704,0
223.242,0
223.779,0
224.316,0
224.853,0
225.39,0
225.927,0
226.464,0
227,0
227.537,0
228.073,0
228.61,0
229.146,0
229.682,0
230.218,0
230.754,0
231.29,0
231.826,0
232.361,0
232.897,0
233.432,0
233.967,0
234.503,0
235.038,0
235.573,0
236.108,0
236.642,0
237.177,0
237.712,0
238.246,0
238.781,0
239.315,0
239.849,0
240.383,0
240.917,0
241.451,0
241.985,0
242.518,0
243.052,0
243.585,0
244.119,0
244.652,0
245.185,0
245.718,0
246.251,0
246.784,0
247.317,0
247.849,0
248.382,0
248.914,0
249.447,0
249.979,0
250.511,0
251.043,0
251.575,0
252.107,0
252.638,0
253.17,0
253.701,0
254.233,0
254.764,0
255.295,0
255.826,0
256.357,0
256.888,0
257.419,0
257.949,0
258.48,0
259.01,0
259.541,0
260.071,0
260.601,0
261.131,0
261.661,0
262.191,0
262.721,0
263.25,0
263.78,0
264.309,0
264.839,0
265.368,0
265.897,0
266.426,0
266.955,0
267.484,0
268.012,0
268.541,0
269.069,0
269.598,0
270.126,0
270.654,0
271.182,0
271.71,0
272.238,0
272.766,0
273.293,0
273.821,0
274.348,0
274.876,0
275.403,0
275.93,0
276.457,0
276.984,0
277.511,0
278.038,0
278.564,0
279.091,0
279.617,0
280.144,0
280.67,0
281.196,0
281.722,0
282.248,0
282.774,0
283.299,0
283.825,0
284.35,0
284.876,0
285.401,0
285.926,0
286.451,0
286.976,0
287.501,0
288.026,0
288.55,0
289.075,0
289.599,0
290.124,0
290.648,0
291.172,0
291.696,0
292.22,0
292.744,0
293.268,0
293.791,0
294.315,0
294.838,0
295.362,0
295.885,0
296.408,0
296.931,0
297.454,0
297.977,0
298.499,0
299.022,0
299.544,0
300.067,0
300.589,0
301.111,0
301.633,0
302.155,0
302.677,0
303.199,0
303.72,0
304.242,0
304.763,0
305.285,0
305.806,0
306.327,0
306.848,0
307.369,0
307.89,0
308.411,0
308.931,0
309.452,0
309.972,0
310.493,0
311.013,0
311.533,0
312.053,0
312.573,0
313.093,0
313.612,0
314.132,0.00066
314.651,0.003255
315.171,0.005855
315.69,0.00845
316.209,0.01
316.728,0.01
317.247,0.01
317.766,0.01
318.285,0.01
318.803,0.01
319.322,0.01
319.84,0.01
320.359,0.01
320.877,0.01
321.395,0.01
321.913,0.01
322.431,0.01
322.949,0.01
323.467,0.01
323.984,0.01
324.502,0.01251
325.019,0.015095
325.537,0.017685
326.054,0.02027
326.571,0.022855
327.088,0.02544
327.605,0.028025
328.122,0.03061
328.638,0.03319
329.155,0.035775
329.671,0.038355
330.188,0.04094
330.704,0.04352
331.22,0.0461
331.736,0.04868
332.252,0.05252
332.768,0.05768
333.284,0.06284
333.799,0.06799
334.315,0.071575
334.83,0.07415
335.346,0.07673
335.861,0.079305
336.376,0.08188
336.891,0.084455
337.406,0.08703
337.921,0.089605
338.436,0.09218
338.95,0.09475
339.465,0.097325
339.979,0.099895
340.494,0.10247
341.008,0.10504
341.522,0.10761
342.036,0.11018
342.55,0.11275
343.064,0.11532
343.577,0.117885
344.091,0.120455
344.604,0.12302
345.118,0.12559
345.631,0.128155
346.144,0.13072
346.657,0.133285
347.17,0.13585
347.683,0.138415
348.196,0.14196
348.708,0.14708
349.221,0.15221
349.733,0.15733
350.246,0.16246
350.758,0.16758
351.27,0.1727
351.782,0.17782
352.294,0.18294
352.806,0.18806
353.318,0.19318
353.829,0.19829
354.341,0.20341
354.852,0.20852
355.364,0.21364
355.875,0.21875
356.386,0.22579
356.897,0.233455
357.408,0.24112
357.919,0.248785
358.429,0.25429
358.94,0.2594
359.45,0.2645
359.961,0.26961
360.471,0.277065
360.981,0.284715
361.491,0.292365
362.001,0.300015
362.511,0.307665
363.021,0.315315
363.53,0.32295
364.04,0.3304
364.549,0.33549
365.059,0.34059
365.568,0.34568
366.077,0.351155
366.586,0.35879
367.095,0.366425
367.604,0.37406
368.113,0.38113
368.621,0.38621
369.13,0.3913
369.638,0.39638
370.147,0.40147
370.655,0.40655
371.163,0.41163
371.671,0.41671
372.179,0.42179
372.687,0.42687
373.194,0.43194
373.702,0.43702
374.209,0.44209
374.717,0.44717
375.224,0.45224
375.731,0.45731
