,far red absorbing state
Wavelength [nm],?fr
215.709,6651.788
216.248,6615.136
216.786,6578.552
217.325,6541.9
217.863,6505.316
218.401,6468.732
218.94,6432.08
219.478,6395.496
220.016,6358.912
220.554,6322.328
221.091,6285.812
221.629,6249.228
222.167,6212.644
222.704,6176.128
223.242,6139.544
223.779,6103.028
224.316,6066.512
224.853,6029.996
225.39,5993.48
225.927,5956.964
226.464,5920.448
227,5884
227.537,5847.484
228.073,5811.036
228.61,5774.52
229.146,5738.072
229.682,5701.624
230.218,5665.176
230.754,5628.728
231.29,5592.28
231.826,5555.832
232.361,5519.452
232.897,5483.004
233.432,5446.624
233.967,5410.244
234.503,5373.796
235.038,5337.416
235.573,5301.036
236.108,5264.656
236.642,5228.344
237.177,5191.964
237.712,5155.584
238.246,5119.272
238.781,5082.892
239.315,5046.58
239.849,5010.268
240.383,4973.956
240.917,4937.644
241.451,4901.332
241.985,4865.02
242.518,4828.776
243.052,4792.464
243.585,4756.22
244.119,4719.908
244.652,4683.664
245.185,4647.42
245.718,4611.176
246.251,4574.932
246.784,4538.688
247.317,4502.444
247.849,4466.268
248.382,4430.024
248.914,4393.848
249.447,4357.604
249.979,4321.428
250.511,4285.252
251.043,4249.076
251.575,4212.9
252.107,4176.724
252.638,4140.616
253.17,4104.44
253.701,4068.332
254.233,4032.156
254.764,3996.048
255.295,3959.94
255.826,3923.832
256.357,3887.724
256.888,3851.616
257.419,3815.508
257.949,3779.468
258.48,3743.36
259.01,3707.32
259.541,3671.212
260.071,3635.172
260.601,3599.132
261.131,3563.092
261.661,3527.052
262.191,3491.012
262.721,3454.972
263.25,3419
263.78,3382.96
264.309,3346.988
264.839,3310.948
265.368,3274.976
265.897,3239.004
266.426,3203.032
266.955,3167.06
267.484,3131.088
268.012,3095.184
268.541,3059.212
269.069,3023.308
269.598,2987.336
270.126,2951.432
270.654,2915.528
271.182,2879.624
271.71,2843.72
272.238,2807.816
272.766,2771.912
273.293,2736.076
273.821,2700.172
274.348,2664.336
274.876,2628.432
275.403,2592.596
275.93,2556.76
276.457,2520.924
276.984,2485.088
277.511,2449.252
278.038,2413.416
278.564,2377.648
279.091,2341.812
279.617,2306.044
280.144,2270.208
280.67,2234.44
281.196,2198.672
281.722,2162.904
282.248,2127.136
282.774,2091.368
283.299,2055.668
283.825,2019.9
284.35,1984.2
284.876,1948.432
285.401,1912.732
285.926,1877.032
286.451,1841.332
286.976,1805.632
287.501,1769.932
288.026,1734.232
288.55,1698.6
289.075,1662.9
289.599,1627.268
290.124,1591.568
290.648,1555.936
291.172,1520.304
291.696,1484.672
292.22,1449.04
292.744,1413.408
293.268,1377.776
293.791,1342.212
294.315,1306.58
294.838,1271.016
295.362,1235.384
295.885,1199.82
296.408,1164.256
296.931,1128.692
297.454,1093.128
297.977,1057.564
298.499,1022.068
299.022,986.504
299.544,951.008
300.067,915.444
300.589,879.948
301.111,844.452
301.633,808.956
302.155,777.955
302.677,757.597
303.199,737.239
303.72,716.92
304.242,701.402
304.763,691.503
305.285,681.585
305.806,671.686
306.327,664.2395
306.848,658.248
307.369,652.2565
307.89,646.265
308.411,637.8075
308.931,628.7075
309.452,619.59
309.972,610.49
310.493,607.2885
311.013,604.4285
311.533,601.5685
312.053,598.205
312.573,590.405
313.093,582.605
313.612,574.82
314.132,566.69
314.651,557.6075
315.171,548.5075
315.69,539.425
316.209,530.9695
316.728,523.444
317.247,515.9185
317.766,508.393
318.285,499.7275
318.803,490.1445
319.322,480.543
319.84,470.96
320.359,461.538
320.877,452.214
321.395,442.89
321.913,433.566
322.431,423.5955
322.949,413.4945
323.467,403.3935
323.984,393.312
324.502,386.976
325.019,380.772
325.537,374.556
326.054,368.217
326.571,360.7205
327.088,353.224
327.605,345.7275
328.122,338.719
328.638,333.301
329.155,327.8725
329.671,322.4545
330.188,317.966
330.704,315.128
331.22,312.29
331.736,309.452
332.252,305.102
332.768,299.168
333.284,293.234
333.799,287.3115
334.315,284.37
334.83,283.34
335.346,282.308
335.861,281.278
336.376,278.18
336.891,274.3175
337.406,270.455
337.921,266.5925
338.436,264.474
338.95,262.675
339.465,260.8725
339.979,259.0735
340.494,258.506
341.008,257.992
341.522,257.478
342.036,256.964
342.55,256.45
343.064,255.936
343.577,255.423
344.091,254.8635
344.604,254.094
345.118,253.323
345.631,252.5535
346.144,252.36
346.657,253.6425
347.17,254.925
347.683,256.2075
348.196,257.392
348.708,258.416
349.221,259.442
349.733,260.466
350.246,262.23
350.758,264.79
351.27,267.35
351.782,269.91
352.294,271.441
352.806,272.209
353.318,272.977
353.829,273.7435
354.341,275.364
354.852,277.408
355.364,279.456
355.875,281.5
356.386,283.737
356.897,286.0365
357.408,288.336
357.919,290.6355
358.429,293.145
358.94,295.7
359.45,298.25
359.961,300.805
360.471,303.5905
360.981,306.3955
361.491,309.2005
362.001,312.007
362.511,315.577
