,red absorbing state
Wavelength [nm],?r
215.709,18880.4725
216.248,18774.02
216.786,18667.765
217.325,18561.3125
217.863,18455.0575
218.401,18348.8025
218.94,18242.35
219.478,18136.095
220.016,18029.84
220.554,17923.585
221.091,17817.5275
221.629,17711.2725
222.167,17605.0175
222.704,17498.96
223.242,17392.705
223.779,17286.6475
224.316,17180.59
224.853,17074.5325
225.39,16968.475
225.927,16862.4175
226.464,16756.36
227,16650.5
227.537,16544.4425
228.073,16438.5825
228.61,16332.525
229.146,16226.665
229.682,16120.805
230.218,16014.945
230.754,15909.085
231.29,15803.225
231.826,15697.365
232.361,15591.7025
232.897,15485.8425
233.432,15380.18
233.967,15274.5175
234.503,15168.6575
235.038,15062.995
235.573,14957.3325
236.108,14851.67
236.642,14746.205
237.177,14640.5425
237.712,14534.88
238.246,14429.415
238.781,14323.7525
239.315,14218.2875
239.849,14112.8225
240.383,14007.3575
240.917,13901.8925
241.451,13796.4275
241.985,13690.9625
242.518,13585.695
243.052,13480.23
243.585,13374.9625
244.119,13269.4975
244.652,13164.23
245.185,13058.9625
245.718,12953.695
246.251,12848.4275
246.784,12743.16
247.317,12637.8925
247.849,12532.8225
248.382,12427.555
248.914,12322.485
249.447,12217.2175
249.979,12112.1475
250.511,12007.0775
251.043,11902.0075
251.575,11796.9375
252.107,11691.8675
252.638,11586.995
253.17,11481.925
253.701,11377.0525
254.233,11271.9825
254.764,11167.11
255.295,11062.2375
255.826,10957.365
256.357,10852.4925
256.888,10747.62
257.419,10642.7475
257.949,10538.0725
258.48,10433.2
259.01,10328.525
259.541,10223.6525
260.071,10118.9775
260.601,10014.3025
261.131,9909.6275
261.661,9804.9525
262.191,9700.2775
262.721,9595.6025
263.25,9491.125
263.78,9386.45
264.309,9281.9725
264.839,9177.2975
265.368,9072.82
265.897,8968.3425
266.426,8863.865
266.955,8759.3875
267.484,8654.91
268.012,8550.63
268.541,8446.1525
269.069,8341.8725
269.598,8237.395
270.126,8133.115
270.654,8028.835
271.182,7924.555
271.71,7820.275
272.238,7715.995
272.766,7611.715
273.293,7507.6325
273.821,7403.3525
274.348,7299.27
274.876,7194.99
275.403,7090.9075
275.93,6986.825
276.457,6882.7425
276.984,6778.66
277.511,6674.5775
278.038,6570.495
278.564,6466.61
279.091,6362.5275
279.617,6258.6425
280.144,6154.56
280.67,6050.675
281.196,5946.79
281.722,5842.905
282.248,5739.02
